K295CW | 295 | D | FX | 106.9 MHz | CP | LOGAN | UT | US | BNPFT-20180425AAG | - | 202565 | 0.25 kW | 0.m | SUN VALLEY RADIO, INC. | 
K281CE | 295 | D | FX | 106.9 MHz | CP | SHIVWITS | UT | US | BPFT-20180820AAK | - | 157980 | 0.25 kW | 0.m | CANYON MEDIA GROUP, LLC | 
WVTI | 295 | A | FM | 106.9 MHz | LIC | BRIGHTON | VT | US | BLED-20120530AKN | - | 165996 | 1.42 kW | 211.5m | VERMONT PUBLIC RADIO | 
W295AU | 295 | D | FX | 106.9 MHz | LIC | MANCHESTER | VT | US | BLFT-20090409ACY | - | 88164 | 0.051 kW | 135.5m | VERMONT PUBLIC RADIO | 
W295AL | 295 | D | FX | 106.9 MHz | LIC | WOODSTOCK | VT | US | BLFT-20171205AAQ | - | 140067 | 0.1 kW | 0.m | VERMONT PUBLIC RADIO | 
W295CO | 295 | D | FX | 106.9 MHz | CP | MOD   BRATTLEBORO | VT | US | BMPFT-20180404AAP | - | 200013 | 0.085 kW | 0.m | SAGA COMMUNICATIONS OF NEW ENGLAND, LLC | 
WAFX | 295 | C | FM | 106.9 MHz | LIC | SUFFOLK | VA | US | BLH-20021227ABL | - | 67082 | 100. kW | 300.m | TIDEWATER COMMUNICATIONS, LLC | 
WZZI | 295 | A | FM | 106.9 MHz | LIC | BEDFORD | VA | US | BMLH-20080904AAE | - | 15188 | 0.29 kW | 389.m | WVJT, LLC | 
W295AI | 295 | D | FX | 106.9 MHz | LIC | MARION | VA | US | BLFT-20070326AFI | - | 142575 | 0.01 kW | 381.1m | POSITIVE ALTERNATIVE RADIO, INC. | 
W300DK | 295 | D | FX | 106.9 MHz | APP | RICHMOND | VA | US | BPFT-20171228AAB | - | 51896 | 0.25 kW | 0.m | DELMARVA EDUCATIONAL ASSOCIATION | 
W295CP | 295 | D | FX | 106.9 MHz | LIC | HARRISONBURG | VA | US | BLFT-20180517AEY | - | 200014 | 0.25 kW | 0.m | TIDEWATER COMMUNICATIONS, LLC | 
KRWM | 295 | C1 | FM | 106.9 MHz | LIC | BREMERTON | WA | US | BLH-20150825AAK | - | 53870 | 49. kW | 397.m | SEATTLE FCC LICENSE SUB, LLC | 
K295AU | 295 | D | FX | 106.9 MHz | LIC | MOSES LAKE | WA | US | BLFT-20070618ACE | - | 156740 | 0.25 kW | 35.9m | WALLA WALLA UNIVERSITY | 
K295AV | 295 | D | FX | 106.9 MHz | LIC | WALLA WALLA | WA | US | BLFT-20100512AIQ | - | 155141 | 0.24 kW | 323.8m | ALEXANDRA COMMUNICATIONS, INC. | 
K295BO | 295 | D | FX | 106.9 MHz | LIC | ABERDEEN | WA | US | BLFT-20130701ADB | - | 24918 | 0.125 kW | 68.m | GRAYS HARBOR CHRISTIAN BROADCASTING, INC. | 
K295BT | 295 | D | FX | 106.9 MHz | LIC | WAPATO | WA | US | BLFT-20150309AGI | - | 156903 | 0.25 kW | 0.m | SMG-YAKIMA, LLC | 
K297BE | 295 | D | FX | 106.9 MHz | CP | KENNEWICK | WA | US | BPFT-20160119ADO | - | 156733 | 0.25 kW | 0.m | VINCENT SHIFLET | 
WQTZ-LP | 295 | L1 | FL | 106.9 MHz | LIC | HICO | WV | US | BLL-20140905AAJ | - | 195010 | 0.001 kW | 358.9m | LANDMARK BAPTIST CHURCH | 
WAXE-LP | 295 | L1 | FL | 106.9 MHz | LIC | ST. ALBANS | WV | US | BLL-20160415AAV | - | 194320 | 0.005 kW | 137.m | COAL MOUNTAIN BROADCASTING, INC. | 
W295AR | 295 | D | FX | 106.9 MHz | LIC | SUTTON | WV | US | BLFT-20070109ABH | - | 145778 | 0.11 kW | 64.8m | SUMMIT MEDIA BROADCASTING, L.L.C. | 
WNRG-FM | 295 | A | FM | 106.9 MHz | LIC | BROOKFIELD | WI | US | BLH-20070830ACR | - | 67484 | 4.4 kW | 116.m | SAGA COMMUNICATIONS OF MILWAUKEE, LLC | 
WLGE | 295 | A | FM | 106.9 MHz | LIC | BAILEYS HARBOR | WI | US | BLH-20080428ACJ | - | 170981 | 6. kW | 56.m | MICHAEL J. MESIC | 
WNNO-FM | 295 | A | FM | 106.9 MHz | LIC | WISCONSIN DELLS | WI | US | BLH-20161006AAC | - | 2806 | 6. kW | 98.m | MAGNUM COMMUNICATIONS, INC. | 
WPAK-FM | 295 | A | FM | 106.9 MHz | LIC | TIGERTON | WI | US | BLH-20170119AAH | - | 191574 | 3.5 kW | 132.m | MULTI-CULTURAL DIVERSITY RADIO, INC. | 
KASS | 295 | C | FM | 106.9 MHz | LIC | CASPER | WY | US | BLH-19980220KD | - | 43477 | 100. kW | 538.m | MT. RUSHMORE BROADCASTING, INC. | 
K295CP | 295 | D | FX | 106.9 MHz | LIC | SHERIDAN | WY | US | BLFT-20170117ADX | - | 158524 | 0.25 kW | 0.m | LOVCOM, INC. | 
NEW | 295 | D | FM | 106.9 MHz | USE | CAWSTON | BC | CA | --20090129CA1 | - | 180615 | 0.02 kW | 188.m | - | 
VF2689 | 295 | D | FM | 106.9 MHz | PROPN | DELTA | BC | CA | --20140908CA2 | - | 198344 | 0.041 kW | 84.5m | - | 
CIXXFM | 295 | A | FM | 106.9 MHz | OPER | LONDON | ON | CA | --- | - | 94666 | 3. kW | 38.m | - | 
CKQB | 295 | C1 | FM | 106.9 MHz | OPER | OTTAWA | ON | CA | --- | - | 94706 | 100. kW | 291.m | - | 
- | 295 | A | FM | 106.9 MHz | DEL | BRACEBRIDGE | ON | CA | --- | - | 122110 | 0. kW | 0.m | - | 
NEW | 295 | C1 | FM | 106.9 MHz | OPER | TROIS RIVIERES | QC | CA | --- | - | 166710 | 100. kW | 87.m | - | 
CIMO-FM-1 | 295 | A | FM | 106.9 MHz | USE | SHERBROOKE | QC | CA | --20091130CAN | - | 183876 | 0.2 kW | 165.3m | - | 
CIMO11 | 295 | D | FX | 106.9 MHz | SOPER | SHERBROOKE | QC | CA | --- | - | 94730 | 0.022 kW | 95.m | - | 
XHADAFM | 295 | B | FM | 106.9 MHz | OPER | ENSENADA | BN | MX | --- | - | 94944 | 45.9 kW | 101.m | - | 
XHPJFM | 295 | B | FM | 106.9 MHz | OPER | MONTERREY | NL | MX | --- | - | 95516 | 50. kW | -42.m | - | 
NEW | 295 | B1 | FM | 106.9 MHz | OPER | CHALWELL | BV | VI | --- | - | 198839 | 1.78 kW | 467.m | - | 
K296BG | 296 | D | FX | 107.1 MHz | LIC | FORT YUKON | AK | US | BLFT-19791011IE | - | 20013 | 0.004 kW | 0.m | EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC. | 
K296DC | 296 | D | FX | 107.1 MHz | LIC | KODIAK | AK | US | BLFT-19850716TA | - | 35338 | 0.16 kW | 0.m | ALASKA VILLAGE MISSIONS, INC. | 
K296CX | 296 | D | FX | 107.1 MHz | LIC | KAKE | AK | US | BLFT-19851030TA | - | 55218 | 0.03 kW | 0.m | RAVEN RADIO FOUNDATION, INC. | 
K296BH | 296 | D | FX | 107.1 MHz | LIC | ANCHOR POINT, ETC. | AK | US | BLFT-19861217TE | - | 814 | 0.25 kW | 0.m | ALASKA VILLAGE MISSIONS, INC. | 
K296EL | 296 | D | FX | 107.1 MHz | LIC | GLENNALLEN | AK | US | BLFT-19950710TB | - | 73922 | 0.05 kW | 221.m | GREATER COPPER VALLEY COMMUNICATIONS, INC. | 
K296FN | 296 | D | FX | 107.1 MHz | LIC | NORTH WRANGELL IS. | AK | US | BLFT-20071011ADI | - | 156538 | 0.01 kW | 0.m | COASTALASKA, INC. | 
